# FlightWaves – Lärmklassen (ICAO-Typenkürzel -> Klasse)
#
# Erzeugt mit tool/build_noise_classes.py.
# Ebene 1 kuratiert: 168 Verkehrsflugzeuge aus flightwaves-app-android
# Ebene 2 Sammelkürzel: 44
# Ebene 3 Doc 8643 (.work/doc8643.csv): der Rest
# Einträge: 2730
typecode,noise_class
0000,notAircraft
A002,lightPiston
A1,lightPiston
A10,mediumJet
A109,helicopter
A119,helicopter
A122,lightPiston
A124,heavyJet
A129,helicopter
A139,helicopter
A140,turboprop
A148,mediumJet
A149,helicopter
A158,mediumJet
A169,helicopter
A178,mediumJet
A189,helicopter
A19,lightPiston
A19N,mediumJet
A20,lightPiston
A205,lightPiston
A20J,regionalJet
A20N,mediumJet
A21,lightPiston
A210,lightPiston
A211,lightPiston
A21N,mediumJet
A22,lightPiston
A223,lightPiston
A23,lightPiston
A25,lightPiston
A251,lightPiston
A27,lightPiston
A270,turboprop
A29,lightPiston
A2RT,helicopter
A3,mediumJet
A306,heavyJet
A30B,heavyJet
A31,lightPiston
A310,heavyJet
A318,mediumJet
A319,mediumJet
A320,mediumJet
A321,mediumJet
A32E,unpowered
A32P,lightPiston
A33,lightPiston
A332,heavyJet
A333,heavyJet
A337,heavyJet
A338,heavyJet
A339,heavyJet
A33E,unpowered
A33P,lightPiston
A342,heavyJet
A343,heavyJet
A345,heavyJet
A346,heavyJet
A34E,unpowered
A35,lightPiston
A359,heavyJet
A35K,heavyJet
A37,regionalJet
A388,heavyJet
A3ST,heavyJet
A4,mediumJet
A400,turboprop
A411,lightPiston
A5,lightPiston
A50,heavyJet
A500,lightPiston
A504,lightPiston
A6,mediumJet
A600,helicopter
A660,turboprop
A700,regionalJet
A743,mediumJet
A748,turboprop
A890,lightPiston
A9,lightPiston
A900,lightPiston
A910,lightPiston
AA1,lightPiston
AA37,lightPiston
AA5,lightPiston
AAT3,lightPiston
AAT4,lightPiston
AB11,lightPiston
AB15,lightPiston
AB18,lightPiston
AB95,lightPiston
AC10,lightPiston
AC11,lightPiston
AC31,helicopter
AC33,helicopter
AC4,lightPiston
AC50,lightPiston
AC52,lightPiston
AC56,lightPiston
AC5A,lightPiston
AC5M,lightPiston
AC68,lightPiston
AC6L,lightPiston
AC72,lightPiston
AC80,turboprop
AC90,turboprop
AC95,turboprop
ACAM,lightPiston
ACAR,lightPiston
ACED,lightPiston
ACR2,lightPiston
ACRD,lightPiston
ACRO,lightPiston
ACSR,lightPiston
AD20,lightPiston
ADEL,lightPiston
ADVE,lightPiston
ADVN,lightPiston
AE45,lightPiston
AEA1,lightPiston
AERK,lightPiston
AEST,lightPiston
AFOX,lightPiston
AG02,lightPiston
AG04,lightPiston
AG1,lightPiston
AG10,lightPiston
AG14,lightPiston
AG60,turboprop
AGSH,lightPiston
AI10,lightPiston
AIGT,lightPiston
AIRD,lightPiston
AIRL,lightPiston
AJ27,mediumJet
AJET,mediumJet
AKNC,turboprop
AKOY,lightPiston
AKRO,lightPiston
ALBU,lightPiston
ALC1,lightPiston
ALGR,lightPiston
ALH,helicopter
ALIG,lightPiston
ALIZ,turboprop
ALO2,helicopter
ALO3,helicopter
ALPI,lightPiston
ALSL,lightPiston
ALTO,lightPiston
AM3,lightPiston
AMX,mediumJet
AN12,turboprop
AN2,lightPiston
AN22,turboprop
AN24,turboprop
AN26,turboprop
AN28,turboprop
AN3,turboprop
AN30,turboprop
AN32,turboprop
AN38,turboprop
AN70,turboprop
AN72,mediumJet
AN8,turboprop
ANDR,lightPiston
ANGL,lightPiston
ANKA,lightPiston
ANSN,lightPiston
ANST,helicopter
AP20,lightPiston
AP22,lightPiston
AP24,lightPiston
AP26,lightPiston
AP28,lightPiston
AP32,lightPiston
AP36,lightPiston
APM2,lightPiston
APM3,lightPiston
APM4,lightPiston
APUP,lightPiston
AR1,lightPiston
AR11,lightPiston
AR15,lightPiston
AR50,lightPiston
AR5T,lightPiston
AR65,lightPiston
AR6T,lightPiston
ARCE,unpowered
ARCP,lightPiston
ARCU,unpowered
ARES,regionalJet
ARV1,lightPiston
ARVA,turboprop
ARWF,lightPiston
AS02,lightPiston
AS14,lightPiston
AS16,lightPiston
AS20,lightPiston
AS21,lightPiston
AS22,lightPiston
AS24,lightPiston
AS25,lightPiston
AS26,lightPiston
AS28,lightPiston
AS29,lightPiston
AS2T,turboprop
AS30,lightPiston
AS31,lightPiston
AS32,helicopter
AS3B,helicopter
AS50,helicopter
AS55,helicopter
AS65,helicopter
AS80,lightPiston
ASDR,lightPiston
ASO4,lightPiston
ASO5,lightPiston
ASOX,lightPiston
ASTO,lightPiston
ASTR,mediumJet
AT1,lightPiston
AT2P,lightPiston
AT3,mediumJet
AT3P,lightPiston
AT3T,turboprop
AT43,turboprop
AT44,turboprop
AT45,turboprop
AT46,turboprop
AT5P,lightPiston
AT5T,turboprop
AT6T,turboprop
AT72,turboprop
AT73,turboprop
AT75,turboprop
AT76,turboprop
AT8T,turboprop
ATAC,lightPiston
ATIS,lightPiston
ATL,lightPiston
ATLA,turboprop
ATP,turboprop
ATTL,lightPiston
AU11,lightPiston
AUJ2,lightPiston
AUJ4,lightPiston
AURA,lightPiston
AUS3,lightPiston
AUS4,lightPiston
AUS5,lightPiston
AUS6,lightPiston
AUS7,lightPiston
AUS9,lightPiston
AV68,lightPiston
AVAM,lightPiston
AVID,lightPiston
AVIN,lightPiston
AVTR,lightPiston
AXE,unpowered
B06,helicopter
B06T,helicopter
B1,heavyJet
B103,lightPiston
B105,helicopter
B13,lightPiston
B14A,lightPiston
B14B,lightPiston
B14C,lightPiston
B150,helicopter
B17,lightPiston
B18T,turboprop
B190,turboprop
B2,heavyJet
B209,lightPiston
B21,mediumJet
B212,helicopter
B214,helicopter
B222,helicopter
B23,lightPiston
B230,helicopter
B23E,unpowered
B24,lightPiston
B25,lightPiston
B26,lightPiston
B26M,lightPiston
B29,lightPiston
B305,helicopter
B350,turboprop
B360,lightPiston
B36T,turboprop
B37M,mediumJet
B38M,mediumJet
B39M,mediumJet
B3XM,mediumJet
B407,helicopter
B412,helicopter
B427,helicopter
B429,helicopter
B430,helicopter
B461,mediumJet
B462,mediumJet
B463,mediumJet
B47D,helicopter
B47G,helicopter
B47J,helicopter
B47T,helicopter
B505,helicopter
B52,heavyJet
B525,helicopter
B58T,lightPiston
B60,lightPiston
B609,helicopter
B60T,turboprop
B701,mediumJet
B703,heavyJet
B712,mediumJet
B720,mediumJet
B721,mediumJet
B722,mediumJet
B732,mediumJet
B733,mediumJet
B734,mediumJet
B735,mediumJet
B736,mediumJet
B737,mediumJet
B738,mediumJet
B739,mediumJet
B741,heavyJet
B742,heavyJet
B743,heavyJet
B744,heavyJet
B748,heavyJet
B74F,heavyJet
B74R,heavyJet
B74S,heavyJet
B752,heavyJet
B753,heavyJet
B762,heavyJet
B763,heavyJet
B764,heavyJet
B772,heavyJet
B773,heavyJet
B778,heavyJet
B779,heavyJet
B77L,heavyJet
B77W,heavyJet
B788,heavyJet
B789,heavyJet
B78X,heavyJet
BA11,mediumJet
BABY,helicopter
BALL,unpowered
BARC,lightPiston
BASS,lightPiston
BBAT,lightPiston
BBIR,lightPiston
BCA3,lightPiston
BCAT,lightPiston
BCMP,lightPiston
BCS1,mediumJet
BCS3,mediumJet
BD10,regionalJet
BD17,lightPiston
BD4,lightPiston
BD5,lightPiston
BD5J,regionalJet
BD5T,turboprop
BDOG,lightPiston
BE10,turboprop
BE12,turboprop
BE17,lightPiston
BE18,lightPiston
BE19,lightPiston
BE20,turboprop
BE22,turboprop
BE23,lightPiston
BE24,lightPiston
BE30,turboprop
BE32,turboprop
BE33,lightPiston
BE35,lightPiston
BE36,lightPiston
BE40,mediumJet
BE4W,mediumJet
BE50,lightPiston
BE55,lightPiston
BE56,lightPiston
